IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
681.856,2.179 ,684.836 ,1.673 ,685.636,1.581 ,685.818 ,1.530 ,684.968,1.496 ,682.850 ,1.475 ,,,,
692.312,2.217 ,695.354 ,1.689 ,696.274,1.593 ,696.496 ,1.541 ,695.882,1.507 ,693.570 ,1.485 ,,,,
702.166,2.258 ,706.472 ,1.704 ,706.202,1.604 ,707.270 ,1.554 ,706.408,1.518 ,704.310 ,1.495 ,,,,
712.558,2.302 ,716.474 ,1.717 ,717.038,1.618 ,717.788 ,1.564 ,717.32,1.529 ,715.048 ,1.508 ,,,,
722.72,2.358 ,726.728 ,1.731 ,728.132,1.631 ,728.490 ,1.575 ,727.884,1.540 ,725.734 ,1.517 ,,,,
732.304,2.409 ,737.624 ,1.746 ,738.724,1.642 ,739.142 ,1.587 ,738.484,1.552 ,736.434 ,1.528 ,,,,
742.554,2.479 ,748.470 ,1.762 ,749.798,1.656 ,749.862 ,1.598 ,749.698,1.563 ,747.164 ,1.539 ,,,,
752.91,2.563 ,759.594 ,1.775 ,760.312,1.667 ,760.368 ,1.611 ,760.168,1.573 ,757.898 ,1.549 ,,,,
762.644,2.664 ,770.050 ,1.790 ,770.426,1.679 ,771.110 ,1.622 ,770.358,1.584 ,768.676 ,1.559 ,,,,
771.756,2.791 ,779.738 ,1.802 ,781.246,1.692 ,781.644 ,1.632 ,781.156,1.593 ,779.454 ,1.570 ,,,,
780.394,2.954 ,791.786 ,1.820 ,791.196,1.704 ,792.356 ,1.645 ,791.428,1.604 ,790.148 ,1.582 ,,,,
788.806,3.163 ,802.180 ,1.835 ,801.794,1.715 ,802.634 ,1.655 ,802.966,1.617 ,800.924 ,1.591 ,,,,
797.136,3.444 ,812.958 ,1.850 ,812.576,1.727 ,813.172 ,1.667 ,813.744,1.628 ,811.594 ,1.601 ,,,,
804.258,3.748 ,823.722 ,1.864 ,823.804,1.737 ,823.824 ,1.678 ,824.278,1.639 ,822.496 ,1.612 ,,,,
,,834.280 ,1.880 ,834.814,1.755 ,834.796 ,1.689 ,834.636,1.649 ,833.214 ,1.622 ,,,,
,,844.854 ,1.894 ,845.408,1.767 ,845.136 ,1.700 ,845.93,1.659 ,843.842 ,1.632 ,,,,
,,856.016 ,1.909 ,854.88,1.777 ,855.960 ,1.711 ,856.424,1.671 ,854.274 ,1.642 ,,,,
,,866.558 ,1.923 ,866.284,1.790 ,866.408 ,1.722 ,866.962,1.681 ,865.340 ,1.653 ,,,,
,,877.148 ,1.940 ,876.648,1.802 ,876.594 ,1.732 ,876.144,1.688 ,876.352 ,1.666 ,,,,
,,886.464 ,1.951 ,888.216,1.816 ,887.380 ,1.744 ,887.272,1.701 ,886.732 ,1.674 ,,,,
,,898.036 ,1.967 ,897.874,1.827 ,898.338 ,1.757 ,898.756,1.714 ,896.906 ,1.683 ,,,,
,,908.488 ,1.983 ,908.734,1.842 ,908.574 ,1.766 ,909.338,1.725 ,907.602 ,1.692 ,,,,
,,919.504 ,1.998 ,919.646,1.850 ,919.444 ,1.777 ,919.856,1.734 ,918.616 ,1.703 ,,,,
,,929.362 ,2.012 ,930.044,1.864 ,930.866 ,1.790 ,929.874,1.743 ,929.338 ,1.715 ,,,,
,,940.658 ,2.027 ,941.302,1.876 ,940.410 ,1.799 ,940.878,1.755 ,940.052 ,1.723 ,,,,
,,950.802 ,2.040 ,951.276,1.888 ,951.690 ,1.812 ,951.71,1.765 ,950.830 ,1.735 ,,,,
,,962.170 ,2.058 ,962.398,1.900 ,962.644 ,1.822 ,962.516,1.775 ,961.616 ,1.743 ,,,,
,,972.430 ,2.072 ,973.684,1.913 ,973.866 ,1.836 ,972.96,1.787 ,971.956 ,1.753 ,,,,
,,982.874 ,2.088 ,983.572,1.924 ,984.376 ,1.846 ,983.458,1.796 ,982.892 ,1.763 ,,,,
,,994.378 ,2.105 ,994.456,1.937 ,994.494 ,1.856 ,994.55,1.808 ,993.660 ,1.774 ,,,,
,,1004.006 ,2.118 ,1005.402,1.949 ,1005.536 ,1.868 ,1004.536,1.816 ,1004.308 ,1.784 ,,,,
,,1015.266 ,2.135 ,1016.404,1.963 ,1015.920 ,1.878 ,1016.038,1.828 ,1015.088 ,1.794 ,,,,
,,1025.748 ,2.150 ,1026.156,1.973 ,1027.392 ,1.891 ,1026.742,1.841 ,1025.344 ,1.803 ,,,,
,,1035.930 ,2.164 ,1037.178,1.986 ,1036.610 ,1.899 ,1036.47,1.847 ,1036.180 ,1.814 ,,,,
,,1047.120 ,2.181 ,1047.692,1.998 ,1047.278 ,1.909 ,1048.088,1.860 ,1046.980 ,1.823 ,,,,
,,1058.350 ,2.197 ,1057.604,2.007 ,1058.578 ,1.924 ,1057.714,1.868 ,1057.528 ,1.833 ,,,,
,,1069.090 ,2.213 ,1069.71,2.024 ,1068.912 ,1.933 ,1068.884,1.881 ,1067.896 ,1.842 ,,,,
,,1079.210 ,2.233 ,1079.144,2.033 ,1079.816 ,1.944 ,1079.222,1.887 ,1078.552 ,1.851 ,,,,
,,1089.844 ,2.246 ,1091.016,2.047 ,1089.740 ,1.953 ,1090.386,1.901 ,1089.128 ,1.862 ,,,,
,,1100.314 ,2.260 ,1101.212,2.058 ,1100.922 ,1.966 ,1100.616,1.908 ,1099.864 ,1.870 ,,,,
,,1110.994 ,2.277 ,1111.978,2.068 ,1110.888 ,1.976 ,1111.106,1.917 ,1110.888 ,1.880 ,,,,
,,1120.834 ,2.290 ,1121.862,2.081 ,1122.156 ,1.989 ,1122.138,1.929 ,1121.786 ,1.890 ,,,,
,,1131.202 ,2.306 ,1132.478,2.095 ,1131.978 ,1.997 ,1133.2,1.941 ,1132.414 ,1.900 ,,,,
,,1142.412 ,2.324 ,1143.958,2.107 ,1144.282 ,2.013 ,1142.886,1.946 ,1142.762 ,1.908 ,,,,
,,1153.704 ,2.341 ,1154.014,2.117 ,1154.898 ,2.020 ,1153.736,1.960 ,1153.818 ,1.919 ,,,,
,,1163.680 ,2.356 ,1164.876,2.131 ,1165.470 ,2.031 ,1163.978,1.969 ,1163.794 ,1.926 ,,,,
,,1174.788 ,2.374 ,1176.082,2.144 ,1175.860 ,2.040 ,1175.532,1.981 ,1175.422 ,1.939 ,,,,
