IC_9V,VCE_9V,IC_11V,VCE_11V,IC_13V,VCE_13V,IC_15V,VCE_15V,IC_17V,VCE_17V,IC_19V,VCE_19V,,,,
,,1004.622 ,1.627 ,1008.352 ,1.536 ,1009.486,1.4913,1009.582,1.4634,1012.144,1.4459,,,,
,,1013.572 ,1.634 ,1020.162 ,1.542 ,1020.186,1.4972,1019.9,1.4703,1023.384,1.4522,,,,
,,1025.500 ,1.644 ,1031.990 ,1.550 ,1031.724,1.5035,1030.534,1.4755,1033.696,1.4567,,,,
,,1035.966 ,1.651 ,1040.868 ,1.554 ,1041.146,1.5074,1041.676,1.4806,1043.602,1.4619,,,,
,,1046.028 ,1.660 ,1052.240 ,1.562 ,1053.066,1.5155,1051.544,1.4859,1055.374,1.4677,,,,
,,1056.724 ,1.666 ,1063.364 ,1.569 ,1062.216,1.5197,1062.894,1.4914,1065.006,1.4717,,,,
,,1067.808 ,1.674 ,1073.150 ,1.574 ,1073.29,1.5261,1072.824,1.4959,1076.228,1.4769,,,,
,,1078.658 ,1.682 ,1084.448 ,1.581 ,1084.148,1.532,1083.494,1.5029,1085.984,1.4822,,,,
,,1088.626 ,1.690 ,1093.782 ,1.587 ,1094.138,1.537,1094.604,1.5072,1097.392,1.4873,,,,
,,1099.324 ,1.698 ,1105.466 ,1.594 ,1105.09,1.5423,1105.67,1.5133,1107.338,1.4923,,,,
,,1110.992 ,1.707 ,1115.620 ,1.600 ,1116.226,1.5485,1116.13,1.5184,1118.866,1.4991,,,,
,,1120.654 ,1.714 ,1127.056 ,1.607 ,1126.65,1.5543,1125.66,1.5227,1128.678,1.5031,,,,
,,1131.402 ,1.724 ,1137.598 ,1.612 ,1136.928,1.5596,1137.75,1.529,1139.622,1.5073,,,,
,,1141.856 ,1.731 ,1146.628 ,1.618 ,1147.814,1.565,1148.658,1.5354,1150.058,1.5124,,,,
,,1152.832 ,1.740 ,1159.002 ,1.626 ,1159.132,1.5711,1157.016,1.5381,1161.978,1.5184,,,,
,,1162.470 ,1.747 ,1169.652 ,1.632 ,1167.816,1.5759,1169.944,1.5456,1170.852,1.5236,,,,
,,1173.918 ,1.757 ,1180.074 ,1.638 ,1179.844,1.5833,1179.702,1.5501,1182.556,1.529,,,,
,,1184.492 ,1.764 ,1190.040 ,1.643 ,1190.042,1.5883,1190.46,1.5547,1192.118,1.5324,,,,
,,1195.070 ,1.772 ,1199.572 ,1.649 ,1201.142,1.5934,1201.272,1.56,1202.506,1.5372,,,,
,,1206.638 ,1.781 ,1210.404 ,1.656 ,1210.9,1.5992,1211.536,1.5662,1209.416,1.5409,,,,
,,1216.402 ,1.788 ,1220.774 ,1.661 ,1222.324,1.6042,1222.518,1.5711,1218.486,1.5461,,,,
,,1226.150 ,1.796 ,1233.060 ,1.669 ,1233.68,1.6115,1233.196,1.576,1230.438,1.5511,,,,
,,1236.848 ,1.804 ,1242.702 ,1.675 ,1244.614,1.6177,1244.01,1.5817,1240.936,1.557,,,,
,,1247.928 ,1.813 ,1253.572 ,1.681 ,1254.392,1.6224,1253.732,1.5861,1252.958,1.5628,,,,
,,1259.216 ,1.822 ,1264.828 ,1.688 ,1266.042,1.6285,1265.594,1.5923,1263.616,1.568,,,,
,,1300.000 ,1.853 ,1300.000 ,1.708 ,1300.000 ,1.647 ,1300.000 ,1.609 ,1300.000 ,1.586 ,,,,
,,1350.000 ,1.892 ,1350.000 ,1.738 ,1350.000 ,1.673 ,1350.000 ,1.634 ,1350.000 ,1.610 ,,,,
,,1400.000 ,1.931 ,1400.000 ,1.767 ,1400.000 ,1.700 ,1400.000 ,1.659 ,1400.000 ,1.634 ,,,,
,,1450.000 ,1.969 ,1450.000 ,1.797 ,1450.000 ,1.727 ,1450.000 ,1.683 ,1450.000 ,1.658 ,,,,
,,1500.000 ,2.008 ,1500.000 ,1.826 ,1500.000 ,1.754 ,1500.000 ,1.708 ,1500.000 ,1.683 ,,,,
,,1550.000 ,2.047 ,1550.000 ,1.856 ,1550.000 ,1.781 ,1550.000 ,1.733 ,1550.000 ,1.707 ,,,,
,,1600.000 ,2.085 ,1600.000 ,1.885 ,1600.000 ,1.807 ,1600.000 ,1.757 ,1600.000 ,1.731 ,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
